Year,Month,Mean Wind Speed (mi/hr),Max Wind Speed (mi/hr),Windy Days
2002,Aug,9.74,18.41,0
2002,Sep,13.28,26.89,3
2002,Oct,13.13,23.63,4
2002,Nov,18.25,30.53,13
2002,Dec,17.8,30.55,12
2003,Jan,18.19,31.8,14
2003,Feb,13.92,23.29,5
2003,Mar,17.42,31.18,11
2003,Apr,12.44,25.12,3
2003,May,13.39,24.15,3
2003,Jun,12.97,22.75,4
2003,Jul,11.69,19.9,0
2003,Aug,10.97,20.1,1
2003,Sep,14.09,26.07,4
2003,Oct,18.52,34.61,14
2003,Nov,19.11,38.58,11
2003,Dec,16.37,30.77,10
2004,Jan,16.74,33.03,9
2004,Feb,13.29,20.57,1
2004,Mar,18.3,33.4,12
2004,Apr,11.88,25.07,2
2004,May,14.88,25.34,7
2004,Jun,12.63,27.74,4
2004,Jul,11.82,23.87,4
2004,Aug,10.62,20,0
2004,Sep,13.62,25.15,3
2004,Oct,15.17,28.08,4
2004,Nov,17.36,31.89,9
2004,Dec,18.81,35.54,13
2005,Jan,17,32.34,12
2005,Feb,14.61,28.43,7
2005,Mar,17.16,27.82,11
2005,Apr,15.13,28.53,6
2005,May,12.95,24.7,6
2005,Jun,13.66,21.24,4
2005,Jul,13.96,22.51,3
2005,Aug,11.43,19.44,0
2005,Sep,13.61,29.25,4
2005,Oct,15.01,29.23,5
2005,Nov,17.62,31.31,7
2005,Dec,17.28,28.26,14
2006,Jan,21.47,31.52,19
2006,Feb,18.18,31.34,11
2006,Mar,12.45,31.71,4
2006,Apr,14.59,29.45,5
2006,May,13.55,22.76,6
2006,Jun,13.71,28.53,6
2006,Jul,12.06,23.46,2
2006,Aug,10.95,24.21,1
2006,Sep,11.78,22.9,1
2006,Oct,14.59,29.46,5
2006,Nov,20.37,31.6,18
2006,Dec,20,39.24,15
2007,Jan,20.33,37.17,16
2007,Feb,16.07,32.71,10
2007,Mar,20.1,36.88,15
2007,Apr,14.83,29.75,6
2007,May,13.03,27.61,2
2007,Jun,13.85,23.81,5
2007,Jul,10.36,16.91,0
2007,Aug,11.93,23.23,2
2007,Sep,14.29,22.21,5
2007,Oct,17.59,30.32,12
2007,Nov,18.91,41.09,14
2007,Dec,19.43,33.7,13
2008,Jan,19.4,32.71,15
2008,Feb,18.28,29.76,13
2008,Mar,16.16,29.65,9
2008,Apr,16.99,24.31,8
2008,May,14.88,29.84,7
